customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2928-JNAIF,Female,1,No,Yes,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),105.92,6728.5,No
4671-IOSTP,Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,99.43,5933.16,No
3513-EMNYN,Female,0,No,No,31,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),118.67,3712.78,No
1480-NQAED,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,35.06,429.83,Yes
5720-TQPSF,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,93.69,3690.52,Yes
9997-SNDRI,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,47.74,3128.78,No
7637-QOUSA,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),112.12,898.03,Yes
7255-MSFDJ,Female,1,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,26.13,1565.2,No
6766-BBLVW,Male,0,No,Yes,24,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),85.43,2057.08,No
4543-XSYWE,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,38.4,170.94,No
9871-CVVOI,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.04,5197.41,No
2837-SWSOL,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),70.48,74.44,Yes
7836-MILES,Male,0,No,No,41,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),71.84,2910.9,No
3507-ERYPO,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,71.26,2702.7,No
5849-QSNOB,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.64,206.04,No
8572-FCSBV,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,116.11,5249.54,Yes
3301-HPZDF,Male,0,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),115.02,2382.1,No
8551-EZYAU,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,41.56,1350.97,Yes
8304-IIKNT,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,74.43,2362.41,Yes
6276-BYDOT,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,73.13,1110.92,No
4703-VHTCU,Female,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,30.58,1703.06,No
7658-JVKQH,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,88.41,149.64,Yes
6346-VIGTB,Female,1,Yes,No,69,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),94.67,6492.63,No
6494-GMENH,Female,0,No,No,48,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,105.8,5082.59,No
2131-IQRZI,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,92.29,4927.09,No
5336-JCRGK,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.99,874.01,No
5119-QPKUO,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),110.82,2198.57,No
3389-WZMNR,Female,1,No,No,15,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,39.3,618.6,No
7258-IPWBM,Male,0,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,79.57,1337.16,Yes
7885-RWAYX,Female,1,Yes,No,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.13,41.63,No
3156-JLYYZ,Female,1,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.35,2476.48,Yes
7623-SHBDM,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,52.67,3424.18,No
6252-PFIPF,Male,0,Yes,No,65,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,48.28,3128.2,No
6583-WZHPC,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,89.69,3128.59,Yes
4814-AZIDT,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,81.12,1910.37,Yes
4900-QHYUM,Female,0,No,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,60.67,3674.09,Yes
7951-TTBYJ,Male,1,Yes,Yes,20,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,34.7,670.6,Yes
9730-TLOWN,Female,0,Yes,Yes,36,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,92.64,3293.79,Yes
6118-EOFMP,Male,0,No,Yes,34,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,112.83,3740.57,No
2380-HJFSU,Male,1,Yes,No,37,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),76.28,2825.52,No
6332-QUGPD,Female,0,Yes,No,52,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,110.12,5736.26,No
5690-QVSQU,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,99.91,1406.68,No
4274-PJSAB,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),113.97,4739.21,No
9159-PPTXJ,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,52.27,38.94,No
6003-HTICW,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.85,3172.29,No
3109-HOTTV,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),41.07,933.14,No
7526-TRSPQ,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),92.53,1269.44,Yes
3672-LEFNC,Female,1,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),117.4,1282.46,Yes
2842-TULXM,Female,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),50.48,3500.52,No
1072-IEQLX,Female,0,No,No,53,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),24.62,1328.45,Yes
7710-ZWGJD,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),116.31,4260.8,No
6387-QZHNR,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,21.15,570.72,No
1354-GFBBA,Female,1,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,54.79,954.63,No
4697-VUDLD,Male,0,No,No,68,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.53,5063.41,Yes
3568-NTEOK,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),96.98,6070.16,No
2977-CXGOF,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,39.87,123.45,Yes
8181-QXFRK,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.46,183.89,No
3930-YVXQY,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),88.39,989.73,No
7310-MXOFY,Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,27.81,1820.2,No
8076-FLEIW,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,42.63,207.19,No
8656-OKLCS,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,45.04,1977.28,Yes
7186-KSHEE,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),102.62,2298.95,Yes
7460-ZRLBM,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.53,150.99,Yes
1420-OAQPD,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),63.62,2255.06,No
3506-CWIUT,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.59,1243.88,No
8010-KBRHX,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.32,1275.95,Yes
6792-JAGFW,Female,0,No,Yes,43,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),89.98,3843.44,No
8516-BJKLD,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),116.64,8101.46,No
2925-JSKBQ,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),66.76,3357.79,No
1596-MUXEL,Female,1,No,No,30,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.25,2250.45,No
2097-JRKTU,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),50.46,1918.72,No
2091-SASPR,Female,0,Yes,No,57,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.39,5757.08,No
4462-NQQHL,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,72.57,322.24,Yes
8574-YWZZZ,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),55.99,1766.01,No
9083-HGSUB,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.76,1199.68,Yes
7827-JYFKG,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),108.08,1910.07,Yes
1304-TIETC,Female,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.94,3058.69,No
9613-QOQIJ,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,38.93,111.94,Yes
2993-FUEAJ,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),106.39,6.61,Yes
9159-QELBV,Female,0,No,No,40,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,74.29,2992.45,No
1136-QVNTI,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,95.82,4423.39,No
9932-SMUMD,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,83.78,3254.79,No
7564-LARNT,Female,1,Yes,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.09,75.87,No
8772-DKGQE,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),43.12,416.3,Yes
6957-BUYBD,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.7,1245.71,No
4069-CMLTI,Male,0,Yes,No,63,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,29.28,1850.26,No
8438-UAKGD,Male,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.64,664.85,Yes
6775-MGYPO,Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),21.64,1111.38,No
5404-LYPAX,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,107.24,5783.98,No
3694-SGQJV,Male,0,Yes,Yes,52,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,22.36,1204.76,No
3898-PXZKN,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,73.38,1479.52,No
9471-IXIMA,Male,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.65,1468.71,No
1641-OIEDM,Male,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),47.57,3201.89,No
8653-ZAQQG,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,18.22,1333.95,No
6293-KLWGS,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,73.95,4840.64,No
7066-ZMUDB,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.97,3784.64,Yes
9326-NWHNQ,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),36.88,1745.07,Yes
2317-FDFXE,Female,1,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,27.31,1609.66,No
2213-VOGOU,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.57,2115.87,No
3908-BKKGW,Male,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,37.7,25.71,No
1964-KXKHU,Male,0,Yes,No,55,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.92,3305.38,No
6020-POYQX,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,97.58,5421.73,No
5108-QCLEE,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),110.46,6776.17,No
2701-EIKVU,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,58.25,967.22,No
8987-YWXKH,Male,0,Yes,No,60,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),65.05,3904.28,No
2821-QWIHX,Male,0,Yes,Yes,36,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,89.77,3195.22,No
9817-HFIUR,Male,1,No,No,53,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,33.47,1830.41,No
7689-OVAGI,Male,0,No,No,64,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),102.81,6553.3,Yes
1977-WXWMY,Male,1,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,45.48,482.33,No
9423-HENNR,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.04,177.97,No
2104-YLFGW,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,112.78,6866.09,No
5317-QVMKS,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,115.99,25.74,No
9587-UXMUG,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.78,3930.26,No
9413-VSYPR,Female,0,Yes,No,66,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,45.15,3066.81,No
3843-ICKHP,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,31.85,633.28,Yes
7265-WQFJE,Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.71,1347.76,No
6686-GSJEI,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,69.53,2853.83,No
3954-HFGZA,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.26,5914.69,Yes
5575-SEJOZ,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.65,1981.6,No
4530-MCFSP,Male,1,No,No,61,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,42.14,2615.07,Yes
9281-CJZWS,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,18.31,853.86,Yes
9091-ZXQDV,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.34,226.13,Yes
6602-JNAQY,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),81.61,3332.26,No
9969-UGFFD,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),92.84,5325.52,No
